"FS Lin","SS Log","FL1 Log","FL2 Log","FL3 Log","FL4 Log","FL5 Log"
950,0.6678452031824,0.458572851358513,0.380562464597876,0.677506525321988,0.273759486818862,0.140279459933373
642,0.65113325749733,0.326539995183568,0.261497815323131,0.611401966215199,0.175435913518267,0.140279459933373
340,0.603424944919196,0.387353706987488,0.343328438016707,0.601650667029677,0.250466494772263,0.185172899926102
833,0.659933050519219,0.318636108753548,0.319623752397046,0.62555609967103,0.222081350052879,0.182190212262849
643,0.585653817185493,0.333456768437105,0.315674182764382,0.650252758171119,0.222081350052879,0.143840891542185
342,0.522829369551227,0.394120687044045,0.301887051542692,0.637915147508898,0.141066417195949,0.175435913518267
511,0.591881082994116,0.369843682925459,0.363974517009122,0.63703309779987,0.257786672914962,0.172787005806565
748,0.629972659733243,0.402784577338547,0.323575487390111,0.530069290557968,0.182778757451073,0.168745733831007
832,0.624672424998259,0.295029198942614,0.305818349289740,0.604311860230174,0.273759486818862,0.157597013980819
796,0.613173084606865,0.418084423539314,0.279506090033501,0.466939252082330,0.202303599215116,0.211875157547888
743,0.608744246353995,0.418084423539314,0.308771540986705,0.501907959152939,0.154850743467635,0.173309128978783
650,0.548094589195255,0.358090854945044,0.261497815323131,0.502821101328797,0.140279459933373,0.164480729737195
304,0.508293008226672,0.567813168189284,0.337407372460796,0.686281552185454,0.672237905577799,0.521016538660012
642,0.615828741507218,0.352194131843378,0.300905518027404,0.617598511353537,0.182778757451073,0.161362102255135
442,0.573173308757861,0.39218977751084,0.370820382306947,0.66608754581422,0.213405068833102,0.140279459933373
829,0.660812526368302,0.420938564569721,0.304834801321944,0.588323660284695,0.140279459933373,0.147178535004063
573,0.58030940985411,0.355144025044986,0.290152214217331,0.596324170558622,0.196066256873814,0.161362102255135
391,0.515570951288053,0.303851718893881,0.318636108753548,0.59099197716754,0.188255890082703,0.162677834203278
842,0.608744246353995,0.40182397040703,0.317648619366148,0.522829369551227,0.140279459933373,0.188884569174318
314,0.589213267095234,0.433254223593108,0.389289635189169,0.646729776551258,0.265239772398733,0.171754154191287
627,0.445487145704544,0.253194757033311,0.200889639762023,0.471572446139952,0.162677834203278,0.182778757451073
595,0.611401966215199,0.393155485097713,0.246862287018223,0.558863289375474,0.140279459933373,0.140279459933373
776,0.639678919993987,0.393155485097713,0.326539995183568,0.609630293401202,0.192088479379025,0.183371292540019
204,0.477118801080669,0.16357228121085,0.267121556704060,0.6976787165068,0.172268685450245,0.140279459933373
767,0.565130393380684,0.380562464597876,0.384446102799712,0.50099448051522,0.200188610986799,0.169733635746363
651,0.631738455286738,0.355144025044986,0.269956905233921,0.630855615748439,0.148143904307162,0.154850743467635
511,0.504646384858735,0.377644706128292,0.379590352485876,0.659933050519219,0.26806502014066,0.297964434643167
390,0.395085382089401,0.597212308466731,0.324563618926047,0.73093651035683,0.256863984839407,0.452041119617036
492,0.548993245617665,0.362014841934518,0.310742219942023,0.43702685358426,0.185781454960399,0.154850743467635
815,0.558863289375474,0.427580548847338,0.373747820375976,0.735307126822572,0.198798498578782,0.399901217123282
773,0.664329550930648,0.341355528691973,0.323575487390111,0.619367756469412,0.209608564537159,0.145928733232941
424,0.59454741884471,0.373747820375976,0.331480818156256,0.626439652176295,0.252283020211930,0.140279459933373
195,0.460435073421994,0.274713840722163,0.200889639762023,0.297964434643167,0.187631241909896,0.154094323280450
568,0.605198627992826,0.275669606701894,0.267121556704060,0.672237905577799,0.185781454960399,0.146862120354825
633,0.573173308757861,0.404704249910189,0.243298519444439,0.549891666487745,0.146862120354825,0.158822198286243
233,0.481729856995562,0.222891426963376,0.269956905233921,0.726564750007645,0.192741366843982,0.144131604573628
612,0.622020658211421,0.35612665264182,0.173835068385563,0.637915147508898,0.251373586915138,0.160077057692081
212,0.410450927071570,0.298944182722262,0.250466494772263,0.308771540986705,0.190154027575454,0.161362102255135
790,0.668723907006677,0.364953752682284,0.312714190948075,0.617598511353537,0.217294683481912,0.140279459933373
547,0.582982412426427,0.426633199381427,0.267121556704060,0.521016538660012,0.143266847840142,0.201594638931909
513,0.58030940985411,0.388321919900050,0.378617765257579,0.644086484322101,0.223704949036996,0.181605650010004
823,0.561550463611059,0.387353706987488,0.381534098529382,0.704687005870158,0.169237834303805,0.265239772398733
799,0.610516199655431,0.337407372460796,0.245075200706715,0.630855615748439,0.187631241909896,0.175435913518267
747,0.557070755717787,0.334444602573969,0.262430509724191,0.4964219650051,0.140279459933373,0.177624558944457
752,0.620252184825136,0.414271770359505,0.324563618926047,0.50099448051522,0.171243398019944,0.168257318749387
777,0.641442262346675,0.477118801080669,0.317648619366148,0.534585290557682,0.189517281185082,0.154094323280450
460,0.591881082994116,0.432309844864813,0.415225700022613,0.689789572931803,0.309756707604237,0.290152214217331
571,0.498252004317859,0.311728055196152,0.273759486818862,0.598100289370352,0.155233599845476,0.402784577338547
542,0.605198627992826,0.362014841934518,0.368866547920421,0.598988114480156,0.242414171861771,0.144720505822661
591,0.623788627185174,0.326539995183568,0.308771540986705,0.629972659733243,0.140279459933373,0.149133866930996
174,0.37179664134119,0.170736402643872,0.146237238572002,0.509203854805391,0.140279459933373,0.140279459933373
974,0.637915147508898,0.394120687044045,0.296006914761259,0.537291706764252,0.16357228121085,0.178742307944130
343,0.403744670601839,0.50099448051522,0.527356424038935,0.690666407645512,0.272806580486754,0.484491855840873
797,0.62555609967103,0.429473753439024,0.290152214217331,0.597212308466731,0.232023448734304,0.140279459933373
695,0.641442262346675,0.303851718893881,0.306802338059224,0.612287594171303,0.140279459933373,0.217294683481912
411,0.463225147278761,0.182190212262849,0.265239772398733,0.567813168189284,0.164024746412181,0.463225147278761
729,0.551687808366613,0.377644706128292,0.376671178467619,0.714317311421552,0.149133866930996,0.140279459933373
772,0.68540437369446,0.407579902497849,0.290152214217331,0.455776216619560,0.148471133452426,0.167291481291287
620,0.574958463059337,0.417132025922147,0.40182397040703,0.61494365721071,0.270905253648299,0.265239772398733
428,0.56334084744967,0.368866547920421,0.346286080835727,0.622020658211421,0.162235816543637,0.276626749501763
680,0.512844066957349,0.352194131843378,0.253194757033311,0.492757675678563,0.149807763529887,0.194059239855938
